id,type,parent_id,schema,name,parent_name,datatype,description,constraints,instances,text_sequence,instance_sequence,dataframe
entity_82,column,entity_79,sakila,description,film,text,description: A short description or plot summary of the film.,,"A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China, A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory, A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank, A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico, A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",description film text ,"description: {A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China, A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory, A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank, A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico, A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China}",
entity_83,column,entity_79,sakila,release_year,film,year,release_year: The year in which the movie was released.,,"2006, 2006, 2006, 2006, 2006",release_year film year ,"release_year: {2006, 2006, 2006, 2006, 2006}",
entity_84,column,entity_79,sakila,language_id,film,tinyint unsigned,language_id: A foreign key pointing at the language table; identifies the language of the film.,NOT NULL INDEX FOREIGN KEY REFERENCES language(language_id),"1, 1, 1, 1, 1",language_id film tinyint unsigned NOT NULL INDEX FOREIGN KEY REFERENCES language(language_id),"language_id: {1, 1, 1, 1, 1}",
entity_85,column,entity_79,sakila,original_language_id,film,tinyint unsigned,original_language_id: A foreign key pointing at the language table; identifies the original language of the film. Used when a film has been dubbed into a new language.,NULL INDEX FOREIGN KEY REFERENCES language(language_id),"nan, nan, nan, nan, nan",original_language_id film tinyint unsigned NULL INDEX FOREIGN KEY REFERENCES language(language_id),"original_language_id: {nan, nan, nan, nan, nan}",
entity_86,column,entity_79,sakila,rental_duration,film,tinyint unsigned,"rental_duration: The length of the rental period, in days.",NOT NULL,"3, 7, 5, 6, 3",rental_duration film tinyint unsigned NOT NULL,"rental_duration: {3, 7, 5, 6, 3}",
entity_87,column,entity_79,sakila,rental_rate,film,"decimal(4,2)",rental_rate: The cost to rent the film for the period specified in the rental_duration column.,NOT NULL,"4.99, 2.99, 2.99, 2.99, 2.99","rental_rate film decimal(4,2) NOT NULL","rental_rate: {4.99, 2.99, 2.99, 2.99, 2.99}",
entity_88,column,entity_79,sakila,length,film,smallint unsigned,"length: The duration of the film, in minutes.",,"48, 50, 117, 130, 169",length film smallint unsigned ,"length: {48, 50, 117, 130, 169}",
entity_89,column,entity_79,sakila,replacement_cost,film,"decimal(5,2)",replacement_cost: The amount charged to the customer if the film is not returned or is returned in a damaged state.,NOT NULL,"12.99, 18.99, 26.99, 22.99, 17.99","replacement_cost film decimal(5,2) NOT NULL","replacement_cost: {12.99, 18.99, 26.99, 22.99, 17.99}",
entity_90,column,entity_79,sakila,rating,film,"enum('G','PG','PG-13','R','NC-17')","rating: The rating assigned to the film. Can be one of: G, PG, PG-13, R, or NC-17.",,"G, NC-17, G, G, PG","rating film enum('G','PG','PG-13','R','NC-17') ","rating: {G, NC-17, G, G, PG}",
entity_91,column,entity_79,sakila,special_features,film,"set('Trailers','Commentaries','Deleted Scenes','Behind the Scenes')","special_features: Lists which common special features are included on the DVD. Can be zero or more of: Trailers, Commentaries, Deleted Scenes, Behind the Scenes.",,"Trailers,Deleted Scenes, Trailers,Deleted Scenes, Commentaries,Behind the Scenes, Deleted Scenes, Deleted Scenes","special_features film set('Trailers','Commentaries','Deleted Scenes','Behind the Scenes') ","special_features: {Trailers,Deleted Scenes, Trailers,Deleted Scenes, Commentaries,Behind the Scenes, Deleted Scenes, Deleted Scenes}",
entity_92,table,entity_47,sakila,film_actor,,,"The film_actor table is used to support a many-to-many relationship between films and actors. For each actor in a given film, there will be one row in the film_actor table listing the actor and film.

The film_actor table refers to the film and actor tables using foreign keys.

Columns:
actor_id: A foreign key identifying the actor.

film_id: A foreign key identifying the film.",,"actor_id, film_id","film_actor [actor_id, film_id]","film_actor: {actor_id, film_id}",14
entity_93,column,entity_92,sakila,actor_id,film_actor,smallint unsigned,actor_id: A foreign key identifying the actor.,NOT NULL PRIMARY KEY FOREIGN KEY REFERENCES actor(actor_id),"10, 20, 30, 40, 53",actor_id film_actor smallint unsigned NOT NULL PRIMARY KEY FOREIGN KEY REFERENCES actor(actor_id),"actor_id: {10, 20, 30, 40, 53}",
entity_94,column,entity_92,sakila,film_id,film_actor,smallint unsigned,film_id: A foreign key identifying the film.,NOT NULL PRIMARY KEY FOREIGN KEY REFERENCES film(film_id),"1, 1, 1, 1, 1",film_id film_actor smallint unsigned NOT NULL PRIMARY KEY FOREIGN KEY REFERENCES film(film_id),"film_id: {1, 1, 1, 1, 1}",
entity_95,table,entity_47,sakila,film_category,,,"The film_category table is used to support a many-to-many relationship between films and categories. For each category applied to a film, there will be one row in the film_category table listing the category and film.

The film_category table refers to the film and category tables using foreign keys.

Columns:
film_id: A foreign key identifying the film.

category_id: A foreign key identifying the category.",,"film_id, category_id","film_category [film_id, category_id]","film_category: {film_id, category_id}",15
entity_96,column,entity_95,sakila,film_id,film_category,smallint unsigned,film_id: A foreign key identifying the film.,NOT NULL PRIMARY KEY FOREIGN KEY REFERENCES film(film_id),"21, 29, 38, 56, 67",film_id film_category smallint unsigned NOT NULL PRIMARY KEY FOREIGN KEY REFERENCES film(film_id),"film_id: {21, 29, 38, 56, 67}",
entity_97,column,entity_95,sakila,category_id,film_category,tinyint unsigned,category_id: A foreign key identifying the category.,NOT NULL PRIMARY KEY FOREIGN KEY REFERENCES category(category_id),"1, 1, 1, 1, 1",category_id film_category tinyint unsigned NOT NULL PRIMARY KEY FOREIGN KEY REFERENCES category(category_id),"category_id: {1, 1, 1, 1, 1}",
entity_98,table,entity_47,sakila,inventory,,,"The inventory table contains one row for each copy of a given film in a given store.

The inventory table refers to the film and store tables using foreign keys and is referred to by the rental table.

Columns
inventory_id: A surrogate primary key used to uniquely identify each item in inventory.

film_id: A foreign key pointing to the film this item represents.

store_id: A foreign key pointing to the store stocking this item.",,"inventory_id, film_id, store_id","inventory [inventory_id, film_id, store_id]","inventory: {inventory_id, film_id, store_id}",16
entity_99,column,entity_98,sakila,inventory_id,inventory,mediumint unsigned,inventory_id: A surrogate primary key used to uniquely identify each item in inventory.,NOT NULL PRIMARY KEY auto_increment,"2, 3, 4, 16, 17",inventory_id inventory mediumint unsigned NOT NULL PRIMARY KEY auto_increment,"inventory_id: {2, 3, 4, 16, 17}",
entity_100,column,entity_98,sakila,film_id,inventory,smallint unsigned,film_id: A foreign key pointing to the film this item represents.,NOT NULL INDEX FOREIGN KEY REFERENCES film(film_id),"1, 1, 1, 4, 4",film_id inventory smallint unsigned NOT NULL INDEX FOREIGN KEY REFERENCES film(film_id),"film_id: {1, 1, 1, 4, 4}",
entity_101,column,entity_98,sakila,store_id,inventory,tinyint unsigned,store_id: A foreign key pointing to the store stocking this item.,NOT NULL INDEX FOREIGN KEY REFERENCES store(store_id),"1, 1, 1, 1, 1",store_id inventory tinyint unsigned NOT NULL INDEX FOREIGN KEY REFERENCES store(store_id),"store_id: {1, 1, 1, 1, 1}",
entity_102,table,entity_47,sakila,language,,,"The language table is a lookup table listing the possible languages that films can have for their language and original language values.

The language table is referred to by the film table.

Columns
language_id: A surrogate primary key used to uniquely identify each language.

name: The English name of the language.",,"language_id, name","language [language_id, name]","language: {language_id, name}",17
entity_103,column,entity_102,sakila,language_id,language,tinyint unsigned,language_id: A surrogate primary key used to uniquely identify each language.,NOT NULL PRIMARY KEY auto_increment,"2, 3, 4, 5, 6",language_id language tinyint unsigned NOT NULL PRIMARY KEY auto_increment,"language_id: {2, 3, 4, 5, 6}",
entity_104,column,entity_102,sakila,name,language,char(20),name: The English name of the language.,NOT NULL,"Italian, Japanese, Mandarin, French, German",name language char(20) NOT NULL,"name: {Italian, Japanese, Mandarin, French, German}",
entity_105,table,entity_47,sakila,payment,,,"The payment table records each payment made by a customer, with information such as the amount and the rental being paid for (when applicable).

The payment table refers to the customer, rental, and staff tables.

Columns
payment_id: A surrogate primary key used to uniquely identify each payment.

customer_id: The customer whose balance the payment is being applied to. This is a foreign key reference to the customer table.

staff_id: The staff member who processed the payment. This is a foreign key reference to the staff table.

rental_id: The rental that the payment is being applied to. This is optional because some payments are for outstanding fees and may not be directly related to a rental.

amount: The amount of the payment.

payment_date: The date the payment was processed.",,"payment_id, customer_id, staff_id, rental_id, amount, payment_date","payment [payment_id, customer_id, staff_id, rental_id, amount, payment_date]","payment: {payment_id, customer_id, staff_id, rental_id, amount, payment_date}",18
entity_106,column,entity_105,sakila,payment_id,payment,smallint unsigned,payment_id: A surrogate primary key used to uniquely identify each payment.,NOT NULL PRIMARY KEY auto_increment,"2, 3, 4, 5, 6",payment_id payment smallint unsigned NOT NULL PRIMARY KEY auto_increment,"payment_id: {2, 3, 4, 5, 6}",
entity_107,column,entity_105,sakila,customer_id,payment,smallint unsigned,customer_id: The customer whose balance the payment is being applied to. This is a foreign key reference to the customer table.,NOT NULL INDEX FOREIGN KEY REFERENCES customer(customer_id),"1, 1, 1, 1, 1",customer_id payment smallint unsigned NOT NULL INDEX FOREIGN KEY REFERENCES customer(customer_id),"customer_id: {1, 1, 1, 1, 1}",
entity_108,column,entity_105,sakila,staff_id,payment,tinyint unsigned,staff_id: The staff member who processed the payment. This is a foreign key reference to the staff table.,NOT NULL INDEX FOREIGN KEY REFERENCES staff(staff_id),"1, 1, 2, 2, 1",staff_id payment tinyint unsigned NOT NULL INDEX FOREIGN KEY REFERENCES staff(staff_id),"staff_id: {1, 1, 2, 2, 1}",
entity_109,column,entity_105,sakila,rental_id,payment,int,rental_id: The rental that the payment is being applied to. This is optional because some payments are for outstanding fees and may not be directly related to a rental.,NULL INDEX FOREIGN KEY REFERENCES rental(rental_id),"573, 1185, 1422, 1476, 1725",rental_id payment int NULL INDEX FOREIGN KEY REFERENCES rental(rental_id),"rental_id: {573, 1185, 1422, 1476, 1725}",
entity_110,column,entity_105,sakila,amount,payment,"decimal(5,2)",amount: The amount of the payment.,NOT NULL,"0.99, 5.99, 0.99, 9.99, 4.99","amount payment decimal(5,2) NOT NULL","amount: {0.99, 5.99, 0.99, 9.99, 4.99}",
entity_111,column,entity_105,sakila,payment_date,payment,datetime,payment_date: The date the payment was processed.,NOT NULL,"2005-05-28 10:35:23, 2005-06-15 00:54:12, 2005-06-15 18:02:53, 2005-06-15 21:08:46, 2005-06-16 15:18:57",payment_date payment datetime NOT NULL,"payment_date: {2005-05-28 10:35:23, 2005-06-15 00:54:12, 2005-06-15 18:02:53, 2005-06-15 21:08:46, 2005-06-16 15:18:57}",
entity_112,table,entity_47,sakila,rental,,,"The rental table contains one row for each rental of each inventory item with information about who rented what item, when it was rented, and when it was returned.

The rental table refers to the inventory, customer, and staff tables and is referred to by the payment table.

Columns
rental_id: A surrogate primary key that uniquely identifies the rental.

rental_date: The date and time that the item was rented.

inventory_id: The item being rented.

customer_id: The customer renting the item.

return_date: The date and time the item was returned.

staff_id: The staff member who processed the rental.",,"rental_id, rental_date, inventory_id, customer_id, return_date, staff_id","rental [rental_id, rental_date, inventory_id, customer_id, return_date, staff_id]","rental: {rental_id, rental_date, inventory_id, customer_id, return_date, staff_id}",19
entity_113,column,entity_112,sakila,rental_id,rental,int,rental_id: A surrogate primary key that uniquely identifies the rental.,NOT NULL PRIMARY KEY auto_increment,"2, 3, 4, 5, 6",rental_id rental int NOT NULL PRIMARY KEY auto_increment,"rental_id: {2, 3, 4, 5, 6}",
entity_114,column,entity_112,sakila,rental_date,rental,datetime,rental_date: The date and time that the item was rented.,NOT NULL INDEX,"2005-05-24 22:54:33, 2005-05-24 23:03:39, 2005-05-24 23:04:41, 2005-05-24 23:05:21, 2005-05-24 23:08:07",rental_date rental datetime NOT NULL INDEX,"rental_date: {2005-05-24 22:54:33, 2005-05-24 23:03:39, 2005-05-24 23:04:41, 2005-05-24 23:05:21, 2005-05-24 23:08:07}",
entity_115,column,entity_112,sakila,inventory_id,rental,mediumint unsigned,inventory_id: The item being rented.,NOT NULL INDEX FOREIGN KEY REFERENCES inventory(inventory_id),"1525, 1711, 2452, 2079, 2792",inventory_id rental mediumint unsigned NOT NULL INDEX FOREIGN KEY REFERENCES inventory(inventory_id),"inventory_id: {1525, 1711, 2452, 2079, 2792}",
entity_116,column,entity_112,sakila,customer_id,rental,smallint unsigned,customer_id: The customer renting the item.,NOT NULL INDEX FOREIGN KEY REFERENCES customer(customer_id),"459, 408, 333, 222, 549",customer_id rental smallint unsigned NOT NULL INDEX FOREIGN KEY REFERENCES customer(customer_id),"customer_id: {459, 408, 333, 222, 549}",
entity_117,column,entity_112,sakila,return_date,rental,datetime,return_date: The date and time the item was returned.,,"2005-05-28 19:40:33, 2005-06-01 22:12:39, 2005-06-03 01:43:41, 2005-06-02 04:33:21, 2005-05-27 01:32:07",return_date rental datetime ,"return_date: {2005-05-28 19:40:33, 2005-06-01 22:12:39, 2005-06-03 01:43:41, 2005-06-02 04:33:21, 2005-05-27 01:32:07}",
entity_118,column,entity_112,sakila,staff_id,rental,tinyint unsigned,staff_id: The staff member who processed the rental.,NOT NULL INDEX FOREIGN KEY REFERENCES staff(staff_id),"1, 1, 2, 1, 1",staff_id rental tinyint unsigned NOT NULL INDEX FOREIGN KEY REFERENCES staff(staff_id),"staff_id: {1, 1, 2, 1, 1}",
entity_119,table,entity_47,sakila,staff,,,"The staff table lists all staff members, including information for email address, login information, and picture.

The staff table refers to the store and address tables using foreign keys, and is referred to by the rental, payment, and store tables.

Columns
staff_id: A surrogate primary key that uniquely identifies the staff member.

first_name: The first name of the staff member.

last_name: The last name of the staff member.

address_id: A foreign key to the staff member address in the address table.

picture: A BLOB containing a photograph of the employee.

email: The staff member email address.

store_id: The staff member “home store.” The employee can work at other stores but is generally assigned to the store listed.

active: Whether this is an active employee. If employees leave, their rows are not deleted from this table; instead, this column is set to FALSE.

username: The user name used by the staff member to access the rental system.

password: The password used by the staff member to access the rental system. The password should be stored as a hash using the SHA2() function.
",,"staff_id, first_name, last_name, address_id, email, store_id, active, username, password","staff [staff_id, first_name, last_name, address_id, email, store_id, active, username, password]","staff: {staff_id, first_name, last_name, address_id, email, store_id, active, username, password}",20
entity_120,column,entity_119,sakila,staff_id,staff,tinyint unsigned,staff_id: A surrogate primary key that uniquely identifies the staff member.,NOT NULL PRIMARY KEY auto_increment,2,staff_id staff tinyint unsigned NOT NULL PRIMARY KEY auto_increment,staff_id: {2},
entity_121,column,entity_119,sakila,first_name,staff,varchar(45),first_name: The first name of the staff member.,NOT NULL,Jon,first_name staff varchar(45) NOT NULL,first_name: {Jon},
entity_122,column,entity_119,sakila,last_name,staff,varchar(45),last_name: The last name of the staff member.,NOT NULL,Stephens,last_name staff varchar(45) NOT NULL,last_name: {Stephens},
entity_123,column,entity_119,sakila,address_id,staff,smallint unsigned,address_id: A foreign key to the staff member address in the address table.,NOT NULL INDEX FOREIGN KEY REFERENCES address(address_id),4,address_id staff smallint unsigned NOT NULL INDEX FOREIGN KEY REFERENCES address(address_id),address_id: {4},
entity_124,column,entity_119,sakila,email,staff,varchar(50),email: The staff member email address.,,Jon.Stephens@sakilastaff.com,email staff varchar(50) ,email: {Jon.Stephens@sakilastaff.com},
entity_125,column,entity_119,sakila,store_id,staff,tinyint unsigned,store_id: The staff member “home store.” The employee can work at other stores but is generally assigned to the store listed.,NOT NULL INDEX FOREIGN KEY REFERENCES store(store_id),2,store_id staff tinyint unsigned NOT NULL INDEX FOREIGN KEY REFERENCES store(store_id),store_id: {2},
entity_126,column,entity_119,sakila,active,staff,tinyint(1),"active: Whether this is an active employee. If employees leave, their rows are not deleted from this table; instead, this column is set to FALSE.",NOT NULL,1,active staff tinyint(1) NOT NULL,active: {1},
entity_127,column,entity_119,sakila,username,staff,varchar(16),username: The user name used by the staff member to access the rental system.,NOT NULL,Jon,username staff varchar(16) NOT NULL,username: {Jon},
entity_128,column,entity_119,sakila,password,staff,varchar(40),password: The password used by the staff member to access the rental system. The password should be stored as a hash using the SHA2() function.,,nan,password staff varchar(40) ,password: {nan},
entity_129,table,entity_47,sakila,store,,,"The store table lists all stores in the system. All inventory is assigned to specific stores, and staff and customers are assigned a “home store”.

The store table refers to the staff and address tables using foreign keys and is referred to by the staff, customer, and inventory tables.

Columns
store_id: A surrogate primary key that uniquely identifies the store.

manager_staff_id: A foreign key identifying the manager of this store.

address_id: A foreign key identifying the address of this store.",,"store_id, manager_staff_id, address_id","store [store_id, manager_staff_id, address_id]","store: {store_id, manager_staff_id, address_id}",21
entity_130,column,entity_129,sakila,store_id,store,tinyint unsigned,store_id: A surrogate primary key that uniquely identifies the store.,NOT NULL PRIMARY KEY auto_increment,2,store_id store tinyint unsigned NOT NULL PRIMARY KEY auto_increment,store_id: {2},
entity_131,column,entity_129,sakila,manager_staff_id,store,tinyint unsigned,manager_staff_id: A foreign key identifying the manager of this store.,NOT NULL UNIQUE FOREIGN KEY REFERENCES staff(staff_id),2,manager_staff_id store tinyint unsigned NOT NULL UNIQUE FOREIGN KEY REFERENCES staff(staff_id),manager_staff_id: {2},
entity_132,column,entity_129,sakila,address_id,store,smallint unsigned,address_id: A foreign key identifying the address of this store.,NOT NULL INDEX FOREIGN KEY REFERENCES address(address_id),2,address_id store smallint unsigned NOT NULL INDEX FOREIGN KEY REFERENCES address(address_id),address_id: {2},
entity_133,schema,,movielens,movielens,,,,,,,,
entity_134,table,entity_133,movielens,links,,,"Links Data File Structure (links.csv)
Identifiers that can be used to link to other sources of movie data are contained in the file links.csv. Each line of this file after the header row represents one movie, and has the following format:

movieId,imdbId,tmdbId
movieId is an identifier for movies used by https://movielens.org. E.g., the movie Toy Story has the link https://movielens.org/movies/1.

imdbId is an identifier for movies used by http://www.imdb.com. E.g., the movie Toy Story has the link http://www.imdb.com/title/tt0114709/.

tmdbId is an identifier for movies used by https://www.themoviedb.org. E.g., the movie Toy Story has the link https://www.themoviedb.org/movie/862.",,"movieId, imdbId, tmdbId","links [movieId, imdbId, tmdbId]","links: {movieId, imdbId, tmdbId}",22
entity_135,column,entity_134,movielens,movieId,links,integer,"movieId is an identifier for movies used by https://movielens.org. E.g., the movie Toy Story has the link https://movielens.org/movies/1.",primary key,"1019.0, 5.0, 6.0, 7.0, 8.0",movieId links integer primary key,"movieId: {1019.0, 5.0, 6.0, 7.0, 8.0}",
entity_136,column,entity_134,movielens,imdbId,links,integer,"imdbId is an identifier for movies used by http://www.imdb.com. E.g., the movie Toy Story has the link http://www.imdb.com/title/tt0114709/.",foreign key,"46672.0, 113041.0, 113277.0, 114319.0, 112302.0",imdbId links integer foreign key,"imdbId: {46672.0, 113041.0, 113277.0, 114319.0, 112302.0}",
entity_137,column,entity_134,movielens,tmdbId,links,integer,"tmdbId is an identifier for movies used by https://www.themoviedb.org. E.g., the movie Toy Story has the link https://www.themoviedb.org/movie/862.",foreign key,"173.0, 11862.0, 949.0, 11860.0, 45325.0",tmdbId links integer foreign key,"tmdbId: {173.0, 11862.0, 949.0, 11860.0, 45325.0}",
entity_138,table,entity_133,movielens,movies,,,"Movies Data File Structure (movies.csv)
Movie information is contained in the file movies.csv. Each line of this file after the header row represents one movie, and has the following format:

movieId,title,genres
Movie titles are entered manually or imported from https://www.themoviedb.org/, and include the year of release in parentheses. Errors and inconsistencies may exist in these titles.

Genres are a pipe-separated list, and are selected from the following:  Action Adventure Animation Children's Comedy Crime Documentary Drama Fantasy Film-Noir Horror Musical Mystery Romance Sci-Fi Thriller War Western (no genres listed)",,"movieId, title, genres","movies [movieId, title, genres]","movies: {movieId, title, genres}",23
entity_139,column,entity_138,movielens,movieId,movies,integer,"movieId is an identifier for movies used by https://movielens.org. E.g., the movie Toy Story has the link https://movielens.org/movies/1.",foreign key,"4, 5, 6, 7, 8",movieId movies integer foreign key,"movieId: {4, 5, 6, 7, 8}",
entity_140,column,entity_138,movielens,title,movies,varchar,"Movie titles are entered manually or imported from https://www.themoviedb.org/, and include the year of release in parentheses. Errors and inconsistencies may exist in these titles.",,"Waiting to Exhale (1995), Father of the Bride Part II (1995), Heat (1995), Sabrina (1995), Tom and Huck (1995)",title movies varchar,"title: {Waiting to Exhale (1995), Father of the Bride Part II (1995), Heat (1995), Sabrina (1995), Tom and Huck (1995)}",
entity_141,column,entity_138,movielens,genres,movies,"array enum ""Action"", ""Adventure"",  ""Animation"", ""Children's Comedy"", ""Crime"", ""Documentary"", ""Drama"", ""Fantasy"", ""Film-Noir"", ""Horror"", ""Musical"", ""Mystery"", ""Romance"", ""Sci-Fi"", ""Thriller"", ""War"", ""Western""","Genres are a pipe-separated list, and are selected from the following:  Action Adventure Animation Children's Comedy Crime Documentary Drama Fantasy Film-Noir Horror Musical Mystery Romance Sci-Fi Thriller War Western (no genres listed)",,"Comedy|Drama|Romance, Comedy, Action|Crime|Thriller, Comedy|Romance, Adventure|Children","genres movies array enum ""Action"", ""Adventure"",  ""Animation"", ""Children's Comedy"", ""Crime"", ""Documentary"", ""Drama"", ""Fantasy"", ""Film-Noir"", ""Horror"", ""Musical"", ""Mystery"", ""Romance"", ""Sci-Fi"", ""Thriller"", ""War"", ""Western""","genres: {Comedy|Drama|Romance, Comedy, Action|Crime|Thriller, Comedy|Romance, Adventure|Children}",
entity_142,table,entity_133,movielens,ratings,,,"Ratings Data File Structure (ratings.csv)
All ratings are contained in the file ratings.csv. Each line of this file after the header row represents one rating of one movie by one user, and has the following format:

userId,movieId,rating,timestamp
The lines within this file are ordered first by userId, then, within user, by movieId.

Ratings are made on a 5-star scale, with half-star increments (0.5 stars - 5.0 stars).

Timestamps represent seconds since midnight Coordinated Universal Time (UTC) of January 1, 1970.",,"userId, movieId, rating, timestamp","ratings [userId, movieId, rating, timestamp]","ratings: {userId, movieId, rating, timestamp}",24
entity_143,column,entity_142,movielens,userId,ratings,integer,Each line of this file after the header row represents one rating of one movie by one user,primary key,"1.0, 1.0, 1.0, 1.0, 1.0",userId ratings integer primary key,"userId: {1.0, 1.0, 1.0, 1.0, 1.0}",
entity_144,column,entity_142,movielens,movieId,ratings,integer,"movieId is an identifier for movies used by https://movielens.org. E.g., the movie Toy Story has the link https://movielens.org/movies/1.",foreign key,"30.0, 32.0, 34.0, 36.0, 80.0",movieId ratings  integer foreign key,"movieId: {30.0, 32.0, 34.0, 36.0, 80.0}",
entity_145,column,entity_142,movielens,rating,ratings,float,"Ratings are made on a 5-star scale, with half-star increments (0.5 stars - 5.0 stars).",,"5.0, 5.0, 2.0, 1.0, 5.0",rating ratings,"rating: {5.0, 5.0, 2.0, 1.0, 5.0}",
entity_146,column,entity_142,movielens,timestamp,ratings,time,"Timestamps represent seconds since midnight Coordinated Universal Time (UTC) of January 1, 1970.",,"944249077.0, 943228858.0, 943228491.0, 944249008.0, 944248943.0",timestamp ratings time,"timestamp: {944249077.0, 943228858.0, 943228491.0, 944249008.0, 944248943.0}",
entity_147,table,entity_133,movielens,tags,,,"Tags Data File Structure (tags.csv)
All tags are contained in the file tags.csv. Each line of this file after the header row represents one tag applied to one movie by one user, and has the following format:

userId,movieId,tag,timestamp
The lines within this file are ordered first by userId, then, within user, by movieId.

Tags are user-generated metadata about movies. Each tag is typically a single word or short phrase. The meaning, value, and purpose of a particular tag is determined by each user.

Timestamps represent seconds since midnight Coordinated Universal Time (UTC) of January 1, 1970.",,"userId, movieId, tag, timestamp","tags [userId, movieId, tag, timestamp]","tags: {userId, movieId, tag, timestamp}",25
entity_148,column,entity_147,movielens,userId,tags,integer,Each line of this file after the header row represents one tag applied to one movie by one user,foreign key,"34, 34, 34, 55, 58",userId tags integer foreign key,"userId: {34, 34, 34, 55, 58}",
entity_149,column,entity_147,movielens,movieId,tags,integer,"movieId is an identifier for movies used by https://movielens.org. E.g., the movie Toy Story has the link https://movielens.org/movies/1.",foreign key,"2174, 2174, 8623, 5766, 7451",movieId tags integer foreign key,"movieId: {2174, 2174, 8623, 5766, 7451}",
entity_150,column,entity_147,movielens,tag,tags,array string,"Tags are user-generated metadata about movies. Each tag is typically a single word or short phrase. The meaning, value, and purpose of a particular tag is determined by each user.",,"music, weird, Steve Martin, the killls and the score, bullying",tag tags array string,"tag: {music, weird, Steve Martin, the killls and the score, bullying}",
entity_151,column,entity_147,movielens,timestamp,tags,time,"Timestamps represent seconds since midnight Coordinated Universal Time (UTC) of January 1, 1970.",,"1249808064, 1249808102, 1249808497, 1319322078, 1672551536",timestamp tags time,"timestamp: {1249808064, 1249808102, 1249808497, 1319322078, 1672551536}",
