l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1510,83096,621,2,24,25898.16,0.05,0.04,N,O,10/7/1996,10/22/1996,11/3/1996,DELIVER IN PERSON,REG AIR,uickly across t
1510,189992,2511,3,36,74951.64,0.07,0.02,N,O,10/2/1996,11/23/1996,10/5/1996,NONE,SHIP,ing asymptotes. regularly regula
1510,181428,8983,4,8,12075.36,0.01,0.08,N,O,10/26/1996,11/7/1996,10/30/1996,TAKE BACK RETURN,RAIL,". regular, even "
1510,58453,8454,5,27,38109.15,0.08,0.06,N,O,10/20/1996,12/5/1996,11/2/1996,NONE,MAIL, according to the caref
1510,13698,3699,6,3,4835.07,0.05,0.02,N,O,10/31/1996,12/3/1996,11/13/1996,COLLECT COD,RAIL,gular pinto beans use about
1510,21462,6467,7,50,69173,0.04,0.05,N,O,11/1/1996,10/17/1996,11/28/1996,NONE,MAIL,y. slyly regular requests eat. furi
1511,97166,4694,1,29,33731.64,0.01,0.04,N,O,3/17/1997,2/11/1997,3/27/1997,DELIVER IN PERSON,AIR, requests cajole upon the r
1511,61718,6731,2,32,53750.72,0.04,0.01,N,O,1/6/1997,3/21/1997,1/26/1997,TAKE BACK RETURN,REG AIR,according to the fluffily 
1536,193719,3720,1,5,9063.55,0.08,0.03,N,O,2/8/1997,3/11/1997,3/2/1997,COLLECT COD,MAIL,refully express p
1537,17492,9994,1,17,23961.33,0.01,0.03,A,F,4/12/1992,4/19/1992,4/13/1992,NONE,TRUCK,iously ironic r
1537,178379,3414,2,50,72868.5,0.08,0,R,F,5/30/1992,5/14/1992,6/23/1992,TAKE BACK RETURN,MAIL,"ealthy, final courts wake quickly. carefull"
1537,12480,2481,3,44,61269.12,0.05,0.04,R,F,4/1/1992,3/31/1992,4/21/1992,NONE,TRUCK,o beans are
1537,139612,2126,4,3,4954.83,0.08,0.07,R,F,3/20/1992,4/14/1992,3/21/1992,TAKE BACK RETURN,SHIP,fter the furiously pendi
1538,101743,4254,1,32,55831.68,0.05,0.05,N,O,7/8/1995,7/29/1995,8/1/1995,TAKE BACK RETURN,RAIL,ages. fluffily even packages cou
1538,191738,1739,2,27,49402.71,0.05,0.01,N,O,9/19/1995,8/3/1995,9/24/1995,DELIVER IN PERSON,TRUCK,above the slyly 
1538,129762,7299,3,36,64503.36,0.08,0.04,N,O,7/11/1995,9/10/1995,7/26/1995,DELIVER IN PERSON,MAIL,y according to
1538,103730,1261,4,28,48544.44,0.1,0.04,N,O,9/19/1995,8/27/1995,10/10/1995,COLLECT COD,RAIL,es. ironic ideas shall ha
1538,177315,2350,5,13,18100.03,0.01,0.05,N,O,6/26/1995,7/30/1995,7/25/1995,NONE,SHIP,s. blithely ironic e
1538,127205,9718,6,42,51752.4,0.08,0.08,N,O,10/10/1995,9/12/1995,11/8/1995,DELIVER IN PERSON,TRUCK, platelets haggle after 
1539,195722,761,1,21,38172.12,0.08,0.02,R,F,4/19/1995,5/10/1995,4/27/1995,COLLECT COD,TRUCK,ously slyly pendin
1539,85981,998,2,11,21636.78,0.01,0.08,A,F,5/27/1995,4/13/1995,6/10/1995,TAKE BACK RETURN,TRUCK,iously along the slyly bold pac
1539,67462,2475,3,7,10006.22,0.09,0.04,R,F,5/14/1995,4/16/1995,5/30/1995,DELIVER IN PERSON,AIR, enticing dolp
1540,172385,9937,1,38,55380.44,0.03,0.01,R,F,9/30/1992,10/27/1992,10/12/1992,TAKE BACK RETURN,SHIP,press packages. fi
1540,59905,7421,2,35,65271.5,0.02,0.07,R,F,10/31/1992,9/4/1992,11/5/1992,TAKE BACK RETURN,SHIP,ages use acr
1540,7166,2167,3,25,26829,0.08,0.04,R,F,11/15/1992,10/24/1992,12/14/1992,DELIVER IN PERSON,SHIP, haggle alongside o
1540,24603,2110,4,6,9165.6,0.09,0.03,R,F,8/28/1992,9/17/1992,9/14/1992,COLLECT COD,MAIL,ong the blithely final deposits. e
1540,86906,9415,5,27,51108.3,0.1,0.08,R,F,12/2/1992,10/18/1992,12/31/1992,NONE,SHIP,e theodolites. furiously ex
1541,63380,5887,1,44,59108.72,0.1,0.05,N,O,8/24/1995,7/13/1995,8/26/1995,TAKE BACK RETURN,MAIL,"sual, unusual packages. car"
1541,25684,5685,2,8,12877.44,0.1,0.08,N,F,6/5/1995,8/7/1995,6/21/1995,TAKE BACK RETURN,TRUCK,usual courts nag slyly. furious
1542,57750,7751,1,37,63186.75,0.07,0.06,A,F,12/15/1993,10/17/1993,1/7/1994,TAKE BACK RETURN,REG AIR,"y ironic accounts. regular, even "
1542,2488,4989,2,12,16685.76,0.09,0.06,R,F,10/29/1993,11/2/1993,11/9/1993,TAKE BACK RETURN,RAIL,cial theod
1542,5566,5567,3,18,26488.08,0.05,0.05,R,F,10/17/1993,11/15/1993,10/26/1993,TAKE BACK RETURN,FOB,e special the
1542,142665,5180,4,21,35860.86,0.01,0.05,R,F,10/13/1993,12/13/1993,11/12/1993,NONE,RAIL,ironic instructions. slyly un
1542,154955,2501,5,46,92457.7,0,0,R,F,9/28/1993,11/3/1993,10/15/1993,COLLECT COD,FOB, nod. furiously final instru
1543,70883,5898,1,34,63031.92,0.02,0.08,N,O,5/25/1997,3/30/1997,6/4/1997,NONE,AIR,ly ironic deposits
1543,114492,7004,2,6,9038.94,0.09,0.01,N,O,4/16/1997,5/20/1997,5/16/1997,DELIVER IN PERSON,MAIL,packages haggle slyly ironic
1543,66020,6021,3,42,41412.84,0.06,0.01,N,O,5/26/1997,3/30/1997,6/12/1997,DELIVER IN PERSON,FOB," integrate unusual, bol"
1543,188591,3628,4,42,70542.78,0.05,0.06,N,O,4/11/1997,4/11/1997,4/23/1997,TAKE BACK RETURN,MAIL,. carefully regular foxes accord
1543,39868,9869,5,9,16270.74,0.08,0.06,N,O,3/14/1997,5/19/1997,3/26/1997,DELIVER IN PERSON,FOB, pinto beans. dependenci
1543,48782,6295,6,3,5192.34,0.1,0.04,N,O,3/29/1997,5/10/1997,4/22/1997,COLLECT COD,MAIL,kly regular packages. 
1543,67763,270,7,3,5192.28,0,0.02,N,O,3/22/1997,4/6/1997,3/30/1997,NONE,AIR,thely. even requests detect blithel
1568,89369,1878,1,36,48900.96,0.02,0.03,N,O,5/31/1997,4/22/1997,6/21/1997,TAKE BACK RETURN,RAIL,"luffy, express epitaphs cajole"
1568,8928,1429,2,46,84498.32,0.04,0,N,O,4/6/1997,4/8/1997,4/23/1997,TAKE BACK RETURN,MAIL,ts snooze slyly quickly 
1569,74460,1982,1,5,7172.3,0.07,0,N,O,4/16/1998,6/21/1998,4/18/1998,COLLECT COD,REG AIR,inal theodolites after the slyly 
1569,38749,8750,2,16,27003.84,0.01,0.08,N,O,4/26/1998,6/16/1998,5/26/1998,COLLECT COD,MAIL,l packages. quickly final ideas solve 
1569,48818,8819,3,43,75972.83,0.1,0.03,N,O,6/5/1998,5/31/1998,6/28/1998,DELIVER IN PERSON,FOB,express epitap
1569,69193,9194,4,30,34865.7,0.02,0.03,N,O,7/19/1998,6/4/1998,8/10/1998,NONE,SHIP,packages. furiously silent deposits nag fur
1570,182632,5151,1,25,42865.75,0,0.06,N,O,5/3/1998,6/2/1998,6/2/1998,DELIVER IN PERSON,REG AIR,". bold, final requests along "
1570,85017,34,2,7,7014.07,0.05,0.05,N,O,7/10/1998,6/1/1998,7/23/1998,TAKE BACK RETURN,MAIL, instructions. quickly un
1571,51371,1372,1,47,62151.39,0,0.05,R,F,12/7/1992,2/24/1993,1/1/1993,TAKE BACK RETURN,REG AIR,ts boost fluffily. furiousl
1571,182725,280,2,6,10846.32,0.03,0,A,F,1/8/1993,2/13/1993,2/7/1993,COLLECT COD,SHIP,sly among the ironic 
1571,58030,536,3,18,17784.54,0.05,0.08,A,F,1/9/1993,1/12/1993,1/31/1993,COLLECT COD,AIR,requests after the
1571,100330,2841,4,48,63855.84,0.05,0.05,A,F,12/28/1992,1/4/1993,1/4/1993,DELIVER IN PERSON,RAIL,less deposits c
1571,41509,6518,5,10,14505,0.03,0.06,R,F,12/12/1992,2/13/1993,12/29/1992,DELIVER IN PERSON,AIR,ithely regular depths are after th
1571,33276,786,6,24,29022.48,0.05,0.07,A,F,3/22/1993,1/31/1993,4/9/1993,NONE,TRUCK,arefully silent accounts. bl
1572,23675,3676,1,41,65545.47,0.02,0,N,O,5/16/1996,4/9/1996,5/28/1996,TAKE BACK RETURN,REG AIR,dolites. quickly expres
1572,92330,9858,2,10,13223.3,0.04,0.06,N,O,5/17/1996,3/26/1996,5/19/1996,NONE,AIR, idly bold requests. fu
1573,185330,5331,1,5,7076.65,0.05,0.01,A,F,4/24/1993,3/13/1993,5/17/1993,TAKE BACK RETURN,MAIL,l packages cajol
1573,30683,684,2,17,27432.56,0,0.06,R,F,2/24/1993,2/16/1993,3/8/1993,TAKE BACK RETURN,TRUCK,s are silent asymptotes. car
1573,82204,2205,3,16,18979.2,0.04,0.03,A,F,3/15/1993,3/16/1993,3/31/1993,COLLECT COD,AIR,onic excuses sleep quickly. slyly busy 
1573,193749,8788,4,11,20270.14,0.09,0.01,R,F,3/23/1993,3/24/1993,4/12/1993,TAKE BACK RETURN,RAIL,accounts use. 
1573,136810,1837,5,7,12927.67,0,0.01,R,F,1/30/1993,3/14/1993,2/27/1993,DELIVER IN PERSON,SHIP,press accounts. slyly express 
1573,153063,609,6,30,33481.8,0.03,0.01,A,F,12/29/1992,3/6/1993,1/2/1993,DELIVER IN PERSON,TRUCK,usly silent asymptotes nag caref
1574,47706,5219,1,41,67801.7,0.06,0.02,N,O,3/8/1997,2/9/1997,4/1/1997,COLLECT COD,AIR,ven accounts nag slyly
1574,190353,7911,2,50,72167.5,0,0.05,N,O,12/14/1996,2/14/1997,12/16/1996,TAKE BACK RETURN,FOB,g requests nag fluffily furiously iro
1574,54013,6519,3,25,24175.25,0.06,0.02,N,O,1/16/1997,2/14/1997,2/12/1997,DELIVER IN PERSON,TRUCK,ial theodolites int
1574,190880,5919,4,6,11825.28,0.03,0.05,N,O,2/24/1997,2/3/1997,3/1/1997,NONE,AIR,sh. carefully pending requests 
1574,108301,3322,5,6,7855.8,0.05,0.05,N,O,2/9/1997,3/2/1997,2/14/1997,COLLECT COD,MAIL,ely regular pinto beans w
1574,4733,2234,6,42,68784.66,0.07,0.01,N,O,12/19/1996,1/13/1997,12/28/1996,NONE,FOB,aring packages cajo
1574,135755,782,7,14,25070.5,0.04,0.01,N,O,12/30/1996,1/19/1997,1/20/1997,NONE,AIR,g the even
1575,28443,8444,1,42,57600.48,0.05,0.08,N,O,10/21/1995,11/25/1995,10/24/1995,DELIVER IN PERSON,RAIL, among the unusual deco
1575,35236,243,2,39,45677.97,0,0.06,N,O,10/30/1995,10/15/1995,11/10/1995,COLLECT COD,TRUCK,". pinto beans haggle unusual, even pinto be"
1575,1887,4388,3,12,21466.56,0.01,0.05,N,O,12/27/1995,11/11/1995,1/23/1996,TAKE BACK RETURN,AIR,ecial accounts again
1575,110162,7696,4,39,45714.24,0.07,0,N,O,9/23/1995,11/5/1995,9/25/1995,TAKE BACK RETURN,TRUCK,s. carefully regular de
1575,82215,4724,5,10,11972.1,0.09,0,N,O,1/10/1996,11/20/1995,1/13/1996,DELIVER IN PERSON,RAIL,s around the furiously ironic
1575,177660,5212,6,14,24327.24,0.08,0.06,N,O,10/31/1995,12/6/1995,11/30/1995,NONE,AIR,. even theodolites wake fluffily unusua
1575,116986,9498,7,48,96143.04,0.08,0.04,N,O,11/19/1995,10/25/1995,12/7/1995,DELIVER IN PERSON,TRUCK,pending de
1600,171408,8960,1,20,29588,0.02,0.01,R,F,6/16/1993,4/23/1993,7/2/1993,COLLECT COD,FOB,lly ironic ideas are after th
1600,43128,641,2,48,51413.76,0.07,0.02,R,F,4/17/1993,4/14/1993,5/3/1993,DELIVER IN PERSON,FOB, wake blithely even requests. fluffily
1600,38465,3472,3,8,11227.68,0.04,0.07,R,F,3/7/1993,4/22/1993,3/26/1993,TAKE BACK RETURN,FOB,blithely sly accounts
1600,68481,988,4,25,36237,0,0.06,A,F,5/25/1993,4/7/1993,6/5/1993,TAKE BACK RETURN,REG AIR,ts are furiously throughout the e
1600,146041,6042,5,30,32611.2,0.03,0.08,R,F,6/3/1993,5/3/1993,6/7/1993,DELIVER IN PERSON,RAIL,ts wake quickly silent accounts? s
1601,166156,6157,1,6,7332.9,0,0,A,F,10/19/1994,9/28/1994,10/23/1994,COLLECT COD,SHIP,ke carefully unusual depende
1601,174374,1926,2,50,72418.5,0.03,0.02,R,F,12/24/1994,10/23/1994,1/11/1995,COLLECT COD,FOB,c packages.
1601,89887,2396,3,14,26276.32,0.04,0.08,R,F,9/17/1994,11/22/1994,10/3/1994,DELIVER IN PERSON,RAIL,l accounts cajo
1602,182806,2807,1,4,7555.2,0.08,0.06,R,F,10/31/1993,9/5/1993,11/21/1993,NONE,RAIL,e of the accoun
1603,38191,5701,1,1,1129.19,0.08,0,R,F,8/17/1993,9/4/1993,8/22/1993,TAKE BACK RETURN,REG AIR,arefully ironic dependencies sleep. 
1603,65209,7716,2,29,34051.8,0.06,0.08,A,F,9/28/1993,9/20/1993,10/28/1993,NONE,SHIP,ously special theodolites abou
1604,41563,1564,1,15,22568.4,0.09,0.08,R,F,9/22/1993,9/3/1993,9/29/1993,TAKE BACK RETURN,MAIL,er the accounts. iro
1604,140413,5442,2,37,53776.17,0.06,0.06,A,F,8/22/1993,9/21/1993,9/10/1993,COLLECT COD,SHIP," ironic, regular dolphins at the "
1604,113214,5726,3,19,23316.99,0.09,0.07,A,F,10/15/1993,10/4/1993,11/9/1993,COLLECT COD,RAIL,olites afte
1604,174239,9274,4,15,19698.45,0.03,0,R,F,9/10/1993,8/31/1993,9/30/1993,TAKE BACK RETURN,RAIL,e fluffily across the finally spec
1604,20091,7598,5,23,23255.07,0.08,0.05,A,F,10/11/1993,8/30/1993,10/18/1993,DELIVER IN PERSON,RAIL,ly against the special de
1605,141821,9364,1,47,87552.54,0,0.01,N,O,4/29/1998,6/12/1998,5/20/1998,DELIVER IN PERSON,AIR,y regular the
1605,179691,7243,2,18,31872.42,0.1,0,N,O,5/13/1998,6/17/1998,6/3/1998,COLLECT COD,REG AIR,"ending frets around the final, final"
1605,58546,8547,3,39,58677.06,0.02,0.03,N,O,7/12/1998,6/5/1998,8/9/1998,DELIVER IN PERSON,MAIL,"de of the dependencies-- express, even for"
1605,182574,129,4,25,41414.25,0.06,0.02,N,O,5/26/1998,6/14/1998,6/5/1998,COLLECT COD,AIR,dolites wake slyl
1606,114082,4083,1,21,23017.68,0.04,0,N,O,6/2/1997,7/2/1997,6/27/1997,DELIVER IN PERSON,RAIL,e fluffily across the spe
1606,173565,8600,2,35,57349.6,0,0.02,N,O,6/20/1997,6/19/1997,6/22/1997,COLLECT COD,TRUCK,deas cajole f
1606,99477,7005,3,23,33958.81,0,0.06,N,O,4/19/1997,6/26/1997,4/30/1997,NONE,MAIL,yly express packages was quickly along
1606,96286,8796,4,20,25645.6,0.02,0.04,N,O,5/1/1997,5/26/1997,5/28/1997,TAKE BACK RETURN,TRUCK,re. even pa
1606,70181,5196,5,14,16116.52,0.1,0.01,N,O,5/19/1997,7/5/1997,6/10/1997,COLLECT COD,FOB, quickly final requ
1607,189131,6686,1,2,2440.26,0.02,0,N,O,1/11/1996,2/15/1996,1/19/1996,DELIVER IN PERSON,MAIL,eas. instructions haggle carefully agains
1607,118923,1435,2,37,71851.04,0.05,0.02,N,O,2/27/1996,2/18/1996,3/16/1996,NONE,AIR, instructi
1607,122680,2681,3,39,66404.52,0,0,N,O,2/1/1996,2/12/1996,2/16/1996,NONE,FOB,ely pending deposits dete
1607,75587,8095,4,34,53127.72,0.05,0.06,N,O,1/6/1996,2/24/1996,1/10/1996,DELIVER IN PERSON,SHIP,ctions cajole slyly
1607,177948,466,5,48,97245.12,0,0.05,N,O,2/22/1996,2/13/1996,3/9/1996,TAKE BACK RETURN,MAIL, along the busily pendi
1632,190513,8071,1,47,75364.97,0.08,0,N,O,1/25/1997,2/9/1997,2/19/1997,TAKE BACK RETURN,RAIL,regular multipliers are bli
1632,147914,5457,2,14,27466.74,0.08,0.05,N,O,1/15/1997,2/25/1997,1/28/1997,NONE,RAIL,"ironic ideas cajole finally. even, expres"
1632,176169,1204,3,47,58522.52,0.03,0.04,N,O,1/29/1997,3/3/1997,2/21/1997,NONE,MAIL,. carefully final inst
1632,56164,3680,4,33,36965.28,0.09,0.02,N,O,4/1/1997,2/24/1997,4/29/1997,TAKE BACK RETURN,REG AIR,uests. fluffily
1632,141072,8615,5,43,47862.01,0.1,0.03,N,O,2/24/1997,2/19/1997,3/25/1997,DELIVER IN PERSON,FOB,fully across the pending de
1633,177903,2938,1,35,69331.5,0.01,0.02,N,O,1/9/1996,12/2/1995,1/21/1996,COLLECT COD,REG AIR,s are furiously quic
1633,4124,4125,2,15,15421.8,0,0.05,N,O,12/13/1995,11/13/1995,1/4/1996,TAKE BACK RETURN,FOB,lent packages ar
1634,47063,7064,1,21,21211.26,0,0,N,O,10/4/1996,10/22/1996,11/1/1996,NONE,MAIL,final asym
1634,171632,1633,2,44,74959.72,0.05,0.01,N,O,9/17/1996,11/9/1996,10/3/1996,COLLECT COD,SHIP,"usly ironic accounts. regular, final de"
1634,18568,8569,3,21,31217.76,0.06,0.07,N,O,11/16/1996,10/21/1996,11/27/1996,NONE,TRUCK, quickly final foxes
1634,67465,4984,4,17,24351.82,0.08,0.07,N,O,10/29/1996,10/15/1996,11/2/1996,TAKE BACK RETURN,SHIP,heodolites thrash furiously carefully s
1634,75908,5909,5,2,3767.8,0.07,0.04,N,O,11/22/1996,10/28/1996,12/17/1996,NONE,SHIP,osits across the carefully ironic fox
1634,169681,2198,6,11,19257.48,0.01,0.08,N,O,10/4/1996,12/6/1996,10/14/1996,DELIVER IN PERSON,SHIP,ly against the 
1634,12416,4918,7,35,46494.35,0.06,0.02,N,O,11/25/1996,11/25/1996,12/12/1996,TAKE BACK RETURN,RAIL, ironic dependencies slee
1635,70167,2675,1,3,3411.48,0.06,0.08,N,O,3/13/1997,3/25/1997,3/27/1997,COLLECT COD,FOB,quests cajole flu
1635,89018,9019,2,8,8056.08,0.04,0.05,N,O,4/30/1997,4/21/1997,5/9/1997,DELIVER IN PERSON,AIR, haggle slyly along the f
1635,113791,3792,3,20,36095.8,0.07,0.01,N,O,5/19/1997,4/1/1997,6/17/1997,TAKE BACK RETURN,FOB, wake. furiously ironic requests cajole sl
1635,76063,3585,4,40,41562.4,0.01,0.04,N,O,2/25/1997,3/20/1997,3/12/1997,TAKE BACK RETURN,RAIL,round the fluffily regular accounts. exp
1636,84083,1608,1,2,2134.16,0.09,0.03,N,O,9/26/1997,8/22/1997,10/5/1997,NONE,TRUCK,"regular, final requests. express reques"
1636,168925,8926,2,45,89726.4,0.03,0.01,N,O,7/14/1997,8/8/1997,7/27/1997,COLLECT COD,RAIL,deas boost furiou
1636,107869,380,3,24,45044.64,0.07,0.08,N,O,10/7/1997,8/12/1997,11/4/1997,TAKE BACK RETURN,MAIL,es. accounts wake furiously. pa
1636,152367,4883,4,43,61032.48,0.06,0,N,O,8/23/1997,8/10/1997,9/17/1997,NONE,REG AIR,"ing, unusual depos"
1636,18378,3381,5,22,28520.14,0.05,0.02,N,O,7/22/1997,8/18/1997,8/3/1997,COLLECT COD,AIR,carefully 
1636,62910,5417,6,34,63678.94,0.1,0.01,N,O,8/11/1997,9/9/1997,8/23/1997,NONE,TRUCK,olites. fu
1636,113018,8041,7,7,7217.07,0.04,0,N,O,7/28/1997,9/10/1997,7/31/1997,NONE,MAIL,riously. carefully regula
1637,85755,5756,1,49,85296.75,0.02,0.03,N,F,6/8/1995,4/19/1995,7/1/1995,COLLECT COD,REG AIR,ing to the i
1637,72269,7284,2,1,1241.26,0.1,0.02,A,F,2/14/1995,3/26/1995,3/9/1995,TAKE BACK RETURN,AIR,ithely against the silent accou
1637,21652,6657,3,10,15736.5,0.02,0.05,R,F,2/21/1995,3/17/1995,3/11/1995,NONE,AIR,l theodolites. deposits along the carefu
1637,92629,5139,4,42,68108.04,0.06,0.01,A,F,3/18/1995,4/24/1995,3/31/1995,COLLECT COD,SHIP,ng among t
1637,4005,6506,5,25,22725,0.05,0,R,F,6/7/1995,3/26/1995,6/8/1995,COLLECT COD,RAIL,lyly above the slyly final dep
1637,108780,3801,6,38,67973.64,0.02,0.08,R,F,3/20/1995,5/5/1995,4/14/1995,DELIVER IN PERSON,SHIP,y ironic packages hang thinly r
1637,51705,4211,7,21,34790.7,0.07,0.08,A,F,4/30/1995,4/30/1995,5/5/1995,COLLECT COD,SHIP,ickly ironic dependencies a
1638,5840,5841,1,46,80308.64,0.03,0.02,N,O,10/16/1997,10/28/1997,11/9/1997,COLLECT COD,MAIL,s. final dependencies sleep slyly. even dep
1638,148976,8977,2,30,60749.1,0,0.04,N,O,12/5/1997,9/17/1997,12/6/1997,NONE,REG AIR,ccounts alongside of the slyly bold acc
1638,30158,2662,3,5,5440.75,0.08,0.07,N,O,10/15/1997,11/1/1997,11/8/1997,DELIVER IN PERSON,FOB,d ideas sleep slyly
1638,55974,3490,4,19,36669.43,0,0.08,N,O,10/15/1997,10/27/1997,11/3/1997,DELIVER IN PERSON,MAIL, ironic instruc
1638,142867,7896,5,25,47746.5,0.05,0.03,N,O,10/6/1997,9/30/1997,11/2/1997,DELIVER IN PERSON,REG AIR, blithely furiously special pac
1638,154436,9467,6,46,68559.78,0.07,0.08,N,O,8/20/1997,10/10/1997,9/9/1997,COLLECT COD,AIR,l requests integrate blithely. f
1639,186473,6474,1,24,37427.28,0.07,0,N,O,8/24/1995,10/6/1995,8/31/1995,COLLECT COD,REG AIR, packages eat requests. furiously
1639,42945,7954,2,38,71741.72,0.01,0.04,N,O,8/23/1995,11/9/1995,8/29/1995,TAKE BACK RETURN,FOB,arefully furiously fi
1639,170376,5411,3,41,59301.17,0.04,0.02,N,O,12/19/1995,11/11/1995,1/12/1996,DELIVER IN PERSON,FOB,", unusual du"
1664,117307,2330,1,48,63566.4,0.04,0.02,N,O,6/21/1996,5/1/1996,7/19/1996,TAKE BACK RETURN,RAIL,riously above the requests. slyly special 
1664,172152,7187,2,30,36724.5,0.06,0.05,N,O,4/4/1996,5/4/1996,5/3/1996,COLLECT COD,FOB,s haggle s
1664,150899,900,3,10,19498.9,0,0.06,N,O,4/10/1996,5/13/1996,5/7/1996,TAKE BACK RETURN,RAIL,the ruthlessly regular 
1664,154273,6789,4,35,46454.45,0,0.04,N,O,3/6/1996,5/16/1996,3/9/1996,DELIVER IN PERSON,REG AIR,ully quickly 
1664,56747,6748,5,9,15333.66,0.07,0.04,N,O,4/15/1996,5/14/1996,5/11/1996,DELIVER IN PERSON,TRUCK,ly final the
1664,140115,2630,6,40,46204.4,0.09,0.07,N,O,4/2/1996,4/22/1996,4/17/1996,COLLECT COD,REG AIR, instructions are quickly express de
1665,46402,3915,1,4,5393.6,0.02,0.03,A,F,9/1/1994,6/7/1994,9/12/1994,DELIVER IN PERSON,TRUCK,urious theodolites should na
1665,77098,4620,2,1,1075.09,0.03,0.05,R,F,5/22/1994,7/6/1994,5/24/1994,TAKE BACK RETURN,TRUCK,fily even d
1666,184344,1899,1,30,42850.2,0.04,0.03,N,O,10/28/1995,11/30/1995,11/18/1995,TAKE BACK RETURN,AIR,"special, even courts doze. bold,"
1666,63994,9007,2,20,39159.8,0.01,0,N,O,1/27/1996,12/12/1995,1/31/1996,NONE,REG AIR,e closely special accounts brea
1666,133479,1019,3,31,46886.57,0.05,0.07,N,O,2/11/1996,1/11/1996,2/28/1996,COLLECT COD,RAIL,ic platelets haggle-- carefully ironic
1666,168802,1319,4,41,76702.8,0.06,0.08,N,O,11/29/1995,1/4/1996,12/24/1995,NONE,TRUCK,lay. quickly final theodolites
1667,20267,7774,1,6,7123.56,0.04,0.02,N,O,12/7/1997,11/16/1997,1/2/1998,COLLECT COD,FOB,thin requests are slyly alongside of th
1667,21164,6169,2,29,31469.64,0.06,0.07,N,O,10/15/1997,11/9/1997,11/11/1997,TAKE BACK RETURN,MAIL,ake slyly final packages. final idea
1667,94941,9960,3,48,92925.12,0.05,0.01,N,O,1/27/1998,1/6/1998,2/9/1998,TAKE BACK RETURN,SHIP,ly across the ironic packages. fur
1667,58119,5635,4,24,25850.64,0.04,0.01,N,O,10/14/1997,12/1/1997,11/9/1997,TAKE BACK RETURN,MAIL, enticingly theodolites. q
1667,194315,1873,5,2,2818.62,0.07,0,N,O,12/17/1997,11/22/1997,1/16/1998,NONE,SHIP,ironic ideas use sl
1667,47733,5246,6,6,10084.38,0.01,0.03,N,O,1/21/1998,12/19/1997,1/28/1998,NONE,TRUCK,ly bold packages amon
1667,39956,2460,7,19,36023.05,0.09,0.03,N,O,1/23/1998,11/24/1997,1/26/1998,DELIVER IN PERSON,SHIP,"ggedly according to the quiet, regular i"
1668,131636,4150,1,8,13341.04,0.06,0.01,N,O,7/23/1997,10/9/1997,8/6/1997,DELIVER IN PERSON,FOB,y blithely regular packages--
1668,945,8446,2,25,46148.5,0.01,0.06,N,O,8/8/1997,9/28/1997,9/1/1997,NONE,TRUCK,uctions sleep ironic deposits; careful
1668,74160,6668,3,42,47634.72,0.08,0.01,N,O,8/9/1997,9/8/1997,8/31/1997,NONE,FOB,eposits integrate quickly. r
1668,190774,8332,4,9,16782.93,0.05,0.03,N,O,10/17/1997,9/5/1997,11/1/1997,COLLECT COD,RAIL,oxes run above the carefully even the
1668,127924,7925,5,25,48798,0.01,0.02,N,O,10/8/1997,9/20/1997,10/11/1997,DELIVER IN PERSON,REG AIR,re slyly fluffily even requests. 
1668,9920,2421,6,38,69536.96,0.07,0.01,N,O,8/26/1997,9/17/1997,9/5/1997,DELIVER IN PERSON,TRUCK,es are slyly among the f
1669,78373,8374,1,24,32432.88,0.04,0.08,N,O,9/4/1997,7/30/1997,9/20/1997,DELIVER IN PERSON,RAIL,ronic instructions across the care
1670,31411,6418,1,41,55038.81,0.07,0.01,N,O,7/19/1997,8/20/1997,7/23/1997,DELIVER IN PERSON,TRUCK," sleep express, special pi"
1670,121378,1379,2,10,13993.7,0.07,0.03,N,O,9/14/1997,8/16/1997,9/23/1997,NONE,SHIP,ajole express court
1670,185284,321,3,41,56140.48,0.07,0.07,N,O,7/19/1997,8/5/1997,7/26/1997,COLLECT COD,SHIP,accounts are fu
1671,148885,3914,1,21,40611.48,0.02,0.07,N,O,7/28/1996,9/28/1996,8/8/1996,TAKE BACK RETURN,AIR,uriously regula
1671,95111,2639,2,4,4424.44,0.05,0,N,O,8/30/1996,9/19/1996,9/23/1996,DELIVER IN PERSON,TRUCK,y according to 
1671,123591,8616,3,11,17760.49,0.06,0.08,N,O,9/16/1996,10/21/1996,9/18/1996,NONE,SHIP,ual excuses sleep 
1671,177303,2338,4,5,6901.5,0,0,N,O,11/14/1996,10/20/1996,11/25/1996,TAKE BACK RETURN,FOB,y idle instructions. acc
1671,126590,6591,5,12,19399.08,0.07,0.04,N,O,11/17/1996,9/2/1996,12/17/1996,COLLECT COD,RAIL,aggle carefully
1671,196217,8737,6,46,60407.66,0.08,0.05,N,O,9/13/1996,10/14/1996,9/28/1996,TAKE BACK RETURN,REG AIR, permanently regular theodolites cajole s
1696,15419,422,1,8,10675.28,0.04,0.02,N,O,4/28/1998,2/7/1998,5/10/1998,NONE,TRUCK,losely ironi
1696,138312,826,2,13,17554.03,0.08,0.06,N,O,3/1/1998,3/25/1998,3/24/1998,TAKE BACK RETURN,TRUCK,sits nag blithely afte
