o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
5989,70930,O,355633.39,10/15/1995,3-MEDIUM,Clerk#000000028,0,carefully above the blithely ironic warthogs.
5990,64723,F,174354.3,4/8/1993,1-URGENT,Clerk#000000831,0,requests try to haggle slyly across
5991,141782,F,54501.09,5/6/1994,2-HIGH,Clerk#000000356,0,sts boost along the sometimes 
6016,21575,F,128557.41,1/21/1992,2-HIGH,Clerk#000000119,0,deposits alongside of the slyly regular excuses haggle carefu
6017,48557,F,174652.49,1/31/1995,1-URGENT,Clerk#000000714,0,s cajole furiously. fluffily final pin
6018,83273,F,26048.35,8/19/1992,5-LOW,Clerk#000000919,0, the daringly unusual packages
6019,56647,F,29648.46,8/6/1993,5-LOW,Clerk#000000153,0,pecial orbits. ironic decoys integrate quickly. ruthless ho
6020,7288,F,331130,9/22/1994,3-MEDIUM,Clerk#000000422,0,eas wake blithely aft
6021,68500,O,253539.14,11/6/1997,5-LOW,Clerk#000000637,0,nments are fluffily according to the d
6022,1123,F,372361.57,2/13/1995,1-URGENT,Clerk#000000899,0,detect according to the slyly pending 
6023,111070,O,235515.94,4/10/1998,4-NOT SPECIFIED,Clerk#000000373,0,es detect across the bl
6048,136429,O,224496.44,4/13/1996,5-LOW,Clerk#000000456,0,he slyly final deposits wake against 
6049,44543,O,219456.24,3/10/1998,3-MEDIUM,Clerk#000000242,0, packages should have to integrate alongside of the express requests. sil
6050,133885,F,175476.41,3/29/1993,5-LOW,Clerk#000000860,0,. quickly express foxes
6051,53617,O,275914.34,5/13/1998,3-MEDIUM,Clerk#000000077,0,nal requests sleep. final requests mold slyly. carefully f
6052,84010,F,96584.95,4/16/1993,1-URGENT,Clerk#000000812,0,"nto beans wake furiously among the carefully regular deposits. even, pending "
6053,134186,F,51261.43,12/12/1993,3-MEDIUM,Clerk#000000262,0,d excuses haggle slyly unusual deposits. permanent attainmen
6054,1417,O,132967.94,9/9/1995,5-LOW,Clerk#000000610,0,affix carefully bold packages. slyly final dugouts wake amon
6055,95303,O,181692.23,11/11/1996,1-URGENT,Clerk#000000643,0,iously regular requests sleep blithely along the ideas. even theodolites
6080,42340,O,75822.96,6/5/1996,4-NOT SPECIFIED,Clerk#000000321,0, ideas nod. pending foxes nod slyly. quickly bold theodolites integrate fluffi
6081,140548,O,179826.68,11/5/1997,1-URGENT,Clerk#000000663,0,"g asymptotes. ironic, unusual platelets wake slyly slyly regular Tire"
6082,138548,O,132883.94,3/3/1996,1-URGENT,Clerk#000000820,0,the dependencies. dependen
6083,121312,O,108430.69,7/16/1996,5-LOW,Clerk#000000462,0,tain carefully regular requests. blithely unusual deposits about the ironic s
6084,61915,O,124535.36,12/17/1996,2-HIGH,Clerk#000000797,0,tructions. furiously silent requests sle
6085,55240,O,45975.53,2/9/1998,3-MEDIUM,Clerk#000000340,0,"pending realms are alongside of the express, ironic r"
6086,65861,O,196450.16,9/23/1995,1-URGENT,Clerk#000000743,0,requests! blithely regular deposits try to wake blithel
6087,73498,O,253084.38,1/10/1998,2-HIGH,Clerk#000000829,0,al packages. furiously unusual pinto beans sleep alo
6112,5716,F,135818.09,8/24/1994,3-MEDIUM,Clerk#000000021,0,lent excuses. blithely 
6113,57428,O,248502.65,7/16/1998,4-NOT SPECIFIED,Clerk#000000806,0,. blithely regular ideas sleep quickly-- furiously special 
6114,84965,O,102847.96,4/12/1998,5-LOW,Clerk#000000282,0, beans haggle. furiously
6115,143932,F,316812,9/12/1993,3-MEDIUM,Clerk#000000363,0,nstructions poach furiously. furious
6116,134606,F,218410.01,3/21/1994,3-MEDIUM,Clerk#000000605,0,y across the slyly ironic Tiresias. ironically quiet deposits sleep careful
6117,16672,F,199240.08,12/22/1992,1-URGENT,Clerk#000000763,0,ut the express pack
6118,126973,O,168235.45,3/26/1997,5-LOW,Clerk#000000720,0,"lyly above the regular, bold deposits. furiously "
6119,109171,F,58149.02,7/4/1992,2-HIGH,Clerk#000000354,0,"fully after the final, even accounts. ironic deposits against the"
6144,24211,F,124156.54,6/22/1994,1-URGENT,Clerk#000000444,0,riously slyly special platelets. 
6145,85484,O,24572.22,4/12/1998,5-LOW,Clerk#000000211,0, pinto beans: quickly special accounts hagg
6146,15821,O,86162.31,12/1/1995,5-LOW,Clerk#000000362,0,"y ironic accounts hang even, silent reque"
6147,86851,O,180193.53,10/2/1995,1-URGENT,Clerk#000000134,0,to lose quickly slyly 
6148,44450,O,112067.88,12/25/1995,3-MEDIUM,Clerk#000000291,0, ideas. final accoun
6149,62266,O,1561.92,11/17/1996,5-LOW,Clerk#000000964,0, the furiously even 
6150,88573,F,304873.13,10/2/1992,1-URGENT,Clerk#000000064,0,ess dolphins detect blithely along the carefu
6151,36995,F,70205.56,7/12/1993,1-URGENT,Clerk#000000807,0,ise slyly among the regular
6176,11342,O,113500.76,11/11/1996,5-LOW,Clerk#000000531,0,"ss, even dependencies"
6177,109619,O,145015.5,6/30/1997,4-NOT SPECIFIED,Clerk#000000539,0,ounts. furiously unusual deposits haggle packages! carefully 
6178,64981,O,63276.57,8/9/1995,2-HIGH,Clerk#000000817,0,"kly ironic, unusual packages. slyly ironic escapades sleep furiously. "
6179,122969,F,285535.71,6/3/1994,4-NOT SPECIFIED,Clerk#000000741,0,eodolites use carefully furiously regular dependenci
6180,39719,F,124483.57,4/12/1995,3-MEDIUM,Clerk#000000807,0, slyly regular packages across the slyly bold asymptotes wa
6181,49891,O,60538.35,5/15/1996,2-HIGH,Clerk#000000441,0,across the furiously final asymptotes. carefully ironic packages are final 
6182,146389,F,285734.63,7/22/1992,5-LOW,Clerk#000000149,0,slyly about the furiously bold deposits. slyly ironic accoun
6183,33758,F,241340.77,6/16/1992,3-MEDIUM,Clerk#000000157,0,"carefully idle, special dependenc"
6208,62062,O,67093.6,10/6/1996,4-NOT SPECIFIED,Clerk#000000526,0,yly pending requests 
6209,108388,O,134096.38,8/3/1996,4-NOT SPECIFIED,Clerk#000000335,0,s cajole after the carefully even deposits. special foxes wake
6210,68596,O,244653.88,11/6/1996,5-LOW,Clerk#000000351,0,ending theodolites. busily ironic dep
6211,129340,F,155573.7,11/24/1994,1-URGENT,Clerk#000000850,0, packages print within the ironic packages
6212,11359,O,38227.72,5/1/1996,3-MEDIUM,Clerk#000000786,0,he furiously unusual accounts use fluffily fluffily entic
6213,106672,O,80043.26,7/25/1995,5-LOW,Clerk#000000337,0,ke slyly along the blithely unusual dependen
6214,14614,O,5333.27,7/3/1996,3-MEDIUM,Clerk#000000711,0,ular accounts affix foxes. furiously ironic dependencies sleep c
6215,61876,O,346654.49,11/24/1996,4-NOT SPECIFIED,Clerk#000000550,0,ckages. quickly final hockey players sleep furiously
6240,120139,O,160715.06,6/3/1998,1-URGENT,Clerk#000000407,0,"usly. final, idle courts wake. fluffily express packages cajole slyly caref"
6241,13579,F,84733.46,12/30/1994,5-LOW,Clerk#000000353,0,nic ideas cajole furiously theodolites. slyly even p
6242,47045,O,259963.52,12/2/1997,3-MEDIUM,Clerk#000000172,0,ole carefully above the quickly bold accounts. idly even dependencies haggl
6243,23929,F,109676.38,9/28/1994,4-NOT SPECIFIED,Clerk#000000358,0,o use slyly. slyly express deposits according to the furious theodolit
6244,142106,F,75275.84,8/19/1993,2-HIGH,Clerk#000000549,0,"ithely pending deposits dazzle slyly express accounts. pending, iron"
6245,73297,O,83499.96,11/10/1997,3-MEDIUM,Clerk#000000167,0,es cajole quickly regular deposits. slyly ironic requests wake. unusual grouch
6246,71134,F,257556.68,10/22/1994,4-NOT SPECIFIED,Clerk#000000229,0,hins. carefully silent accounts wake slyly along t
6247,46567,O,51837.27,11/22/1996,3-MEDIUM,Clerk#000000324,0,. carefully regular ex
6272,89615,F,225793.69,2/28/1993,2-HIGH,Clerk#000000434,0,thely regular deposits. fluffily idle ideas cajole blithely carefull
6273,4124,F,32539.6,2/6/1995,1-URGENT,Clerk#000000206,0,tructions? blithely ruthless packages are against the slyly ironic request
6274,7712,O,247837.54,7/15/1995,4-NOT SPECIFIED,Clerk#000000061,0,ght use slyly. quietly regular packages use carefully s
6275,11599,O,224555.86,12/24/1996,1-URGENT,Clerk#000000818,0,e slyly around the instructions. quickly pendi
6276,73402,P,189644.81,5/8/1995,5-LOW,Clerk#000000914,0,regular deposits wake slyly amon
6277,56239,O,114366.2,1/28/1997,3-MEDIUM,Clerk#000000104,0, carefully ironic dependencies according to the c
6278,33628,F,158726.14,1/5/1992,2-HIGH,Clerk#000000042,0,gular ideas. fluffily final ideas sleep carefully. carefull
6279,110806,F,54548.42,1/30/1993,1-URGENT,Clerk#000000519,0,egular asymptotes haggle regular packages. pending fox
6304,55942,O,139356.03,8/12/1995,2-HIGH,Clerk#000000628,0,tes haggle slyly furiously bold requests. blithely bold accounts integrate ab
6305,7828,O,194119.34,1/16/1997,4-NOT SPECIFIED,Clerk#000000759,0,"quickly final foxes. regular, close instructi"
6306,1126,O,18348.49,5/4/1998,4-NOT SPECIFIED,Clerk#000000005,0,sly express instructions wake 
6307,2291,O,77010.52,11/6/1997,4-NOT SPECIFIED,Clerk#000000287,0,e express dependencies are quickly bold p
6308,89383,O,32130.98,7/11/1997,2-HIGH,Clerk#000000231,0,iously after the packages. regular pinto beans boos
6309,129995,F,245600.23,6/10/1993,3-MEDIUM,Clerk#000000476,0,efully always even asymptotes. furiously final depos
6310,71198,F,279567.61,5/4/1994,4-NOT SPECIFIED,Clerk#000000272,0,detect regular theodolites. regular pack
6311,62018,F,27236.72,2/11/1993,3-MEDIUM,Clerk#000000844,0,e the slyly bold foxes cajole above the furiously final reques
6336,131096,O,77902.84,8/29/1995,2-HIGH,Clerk#000000875,0, silent accounts. furiously even requests nag slyly ironic dolph
6337,115828,O,227099.97,9/1/1995,4-NOT SPECIFIED,Clerk#000000301,0,lites poach furiously. furiously 
6338,147937,F,112569.77,2/25/1992,5-LOW,Clerk#000000413,0,s affix carefully. regular pinto 
6339,115507,F,148854.96,12/12/1992,1-URGENT,Clerk#000000413,0, ironic asymptotes. closely even r
6340,23089,O,245029.69,10/9/1996,3-MEDIUM,Clerk#000000638,0,ily pending accounts hinder furiously. e
6341,126815,O,189667.96,6/8/1996,3-MEDIUM,Clerk#000000910,0,"ccording to the pending dugouts! sly, final excuses are even foxes. "
6342,28609,O,222557.52,11/25/1997,1-URGENT,Clerk#000000859,0,eposits are furiously 
6343,74240,O,306199.55,3/18/1998,4-NOT SPECIFIED,Clerk#000000072,0," haggle among the unusual deposits. quiet, special braids use slyly accordin"
6368,51493,F,177969.23,2/23/1994,4-NOT SPECIFIED,Clerk#000000262,0,ymptotes above the carefully ironic ideas sleep among the foxes.
6369,85000,F,222675.3,12/20/1994,2-HIGH,Clerk#000000414,0,yly above the carefully even 
6370,120295,F,64459.38,12/30/1992,3-MEDIUM,Clerk#000000281,0,leep above the quickly ironic decoys. fin
6371,83746,F,190627.69,4/2/1993,3-MEDIUM,Clerk#000000237,0,"y bold requests. unusual, silent theodolites wake carefully requests. packages"
6372,51679,F,178431.06,2/27/1994,4-NOT SPECIFIED,Clerk#000000852,0,ully final instructions above the packages haggle carefully pending pinto b
6373,38491,F,210532.68,1/24/1992,4-NOT SPECIFIED,Clerk#000000432,0, quickly brave instructions se
6374,89689,O,171863.24,8/8/1995,1-URGENT,Clerk#000000058,0,"final asymptotes. enticing, pend"
6375,21685,O,294250.81,11/13/1997,4-NOT SPECIFIED,Clerk#000000466,0,old requests. regular excuses print according to the b
6400,82144,F,103913.3,1/24/1994,3-MEDIUM,Clerk#000000166,0,about the fluffily final ideas. furiou
6401,127201,O,176643.44,4/23/1997,5-LOW,Clerk#000000941,0,inal dinos. instructions sleep after the quickly final Tiresias. d
6402,39469,P,194737.24,4/24/1995,5-LOW,Clerk#000000978,0, requests; slyly busy courts nag 
6403,27875,F,125662.92,2/12/1995,5-LOW,Clerk#000000816,0,r packages are slyly
6404,31735,O,48800.21,7/7/1996,2-HIGH,Clerk#000000095,0,promise. fluffily final accounts boost frets. carefully reg
6405,109966,O,60671.02,5/12/1997,2-HIGH,Clerk#000000379,0,kages sleep after the slyly expre
6406,24299,F,113097.9,8/15/1994,1-URGENT,Clerk#000000996,0,wake carefully. thinl
6407,84664,O,128259.94,7/25/1995,2-HIGH,Clerk#000000873,0,"gle against the ironic accounts. unusual, final deposits cajole furiou"
6432,30251,O,195958.06,11/11/1995,1-URGENT,Clerk#000000116,0,ns. stealthily pending deposits cajole regularly
6433,76564,O,281033.29,11/23/1995,3-MEDIUM,Clerk#000000494,0,"s. furiously silent requests wake across the special braids. even, exp"
6434,97538,F,199692.81,6/8/1994,2-HIGH,Clerk#000000643,0,ages. bold deposits i
6435,113791,O,271418.77,6/1/1996,1-URGENT,Clerk#000000355,0,among the slyly bold theodolites. blithely pending pinto
6436,104563,F,13867.94,3/2/1992,5-LOW,Clerk#000000858,0,ronic requests. slyly special deposits nag flu
6437,116101,F,178239.48,2/4/1994,1-URGENT,Clerk#000000328,0,er the furiously eve
6438,108238,F,105070.86,5/17/1993,4-NOT SPECIFIED,Clerk#000000814,0,cording to the fluffily silent packag
6439,98675,O,268019.07,7/3/1995,3-MEDIUM,Clerk#000000611,0, slyly regular pinto beans haggle even accounts. quickly expre
6464,15928,F,181606.5,5/29/1994,3-MEDIUM,Clerk#000000601,0, among the slyly express platelets haggle slyly aroun
6465,94249,O,195675.22,8/13/1995,5-LOW,Clerk#000000713,0,", ironic accounts nag "
6466,16900,O,45997.73,4/6/1997,1-URGENT,Clerk#000000289,0,grate. finally pending deposits boost. b
6467,75217,O,56250.51,3/2/1998,4-NOT SPECIFIED,Clerk#000000510,0,"n courts are daringly across the furious, pe"
6468,105292,O,20423.7,9/9/1996,5-LOW,Clerk#000000215,0,"ites nag. ironic, pending packages hang blithely slyly bold deposits. c"
6469,74587,O,314971.71,3/9/1996,3-MEDIUM,Clerk#000000974,0,ill sleep against the furiou
6470,6112,O,333227.21,9/11/1995,5-LOW,Clerk#000000421,0,"totes haggle even, unusual packages. regularly ironic p"
6471,95098,O,281238.53,3/1/1998,5-LOW,Clerk#000000775,0,thely according to the ideas. r
6496,44270,O,215422.09,6/30/1995,1-URGENT,Clerk#000000015,0,equests wake carefully at the bl
6497,45151,O,51415.85,10/2/1997,3-MEDIUM,Clerk#000000430,0,ilent packages. blithely regular foxes cajole.
6498,122825,F,93874.3,3/18/1994,3-MEDIUM,Clerk#000000987,0,kly final asymptotes. 
6499,11635,O,100571.82,5/9/1995,1-URGENT,Clerk#000000647,0," furiously about the requests. special, final accounts use according to"
6500,77192,F,124739.1,10/13/1992,1-URGENT,Clerk#000000203,0,"furiously express accounts sleep slyly. ironic, ev"
6501,3248,F,172701.93,1/14/1992,2-HIGH,Clerk#000000637,0,xcuses. furiously regular packages nag
6502,136366,O,143375.11,8/21/1995,3-MEDIUM,Clerk#000000528,0,od carefully carefu
6503,19981,O,147325.09,7/9/1997,5-LOW,Clerk#000000528,0,". final, ruthless de"
6528,112690,F,245635,2/4/1993,2-HIGH,Clerk#000000133,0,furiously regular deposits b
6529,53978,F,175645.11,11/27/1992,3-MEDIUM,Clerk#000000591,0,unts haggle according to the furiously r
6530,6235,O,6454.57,8/5/1997,1-URGENT,Clerk#000000912,0,ourts boost after the req
6531,59297,F,186310.28,7/18/1993,2-HIGH,Clerk#000000947,0,r pinto beans. fluffily regular pint
6532,394,O,118255.28,2/18/1996,1-URGENT,Clerk#000000046,0,s use about the careful
6533,7735,O,218077.54,3/5/1998,3-MEDIUM,Clerk#000000114,0," furiously unusual, bold foxes. express, ironic"
6534,96997,O,34334.22,4/20/1997,1-URGENT,Clerk#000000668,0,packages. slyly silent
6535,24203,F,196436.83,6/13/1992,1-URGENT,Clerk#000000650,0,heodolites was furiously at the qui
6560,120262,F,397194.66,1/5/1995,5-LOW,Clerk#000000328,0,y. sometimes regular ideas affix fluffily according to the courts. regul
6561,140197,F,211353.62,5/19/1994,2-HIGH,Clerk#000000813,0,ronic dependencies affix furiously. blithely final pac
6562,64177,F,214379.06,12/21/1994,1-URGENT,Clerk#000000616,0, silent escapades. furiously regular deposits use furiousl
6563,105478,F,125244.27,11/6/1992,5-LOW,Clerk#000000666,0,ss the quickly thin packages
6564,56443,F,159416.14,1/22/1995,5-LOW,Clerk#000000777,0,ickly even packages. carefully ironic packages according 
6565,27640,O,269079.75,2/25/1997,4-NOT SPECIFIED,Clerk#000000657,0,ns along the quickly permanent packages los
6566,136747,P,192604.25,5/22/1995,1-URGENT,Clerk#000000218,0,its. blithely ironic packages caj
6567,129208,O,65650.58,7/22/1997,2-HIGH,Clerk#000000402,0,he slyly bold asymptotes. excuses haggle never regular excuses. packa
6592,22073,F,258225.35,12/2/1994,5-LOW,Clerk#000000213,0,. blithely ironic accounts are quickly ironic dep
6593,29228,O,149416.68,5/16/1997,2-HIGH,Clerk#000000678,0,"e final, ironic packages. bold, pending dolphins among the "
6594,128684,O,271584.03,8/23/1996,1-URGENT,Clerk#000000712,0,ts. ironic foxes run about the blithely final depo
6595,88006,F,34610.38,10/3/1992,1-URGENT,Clerk#000000220,0,riously final requests. slyly 
6596,111872,O,212211.57,7/22/1995,5-LOW,Clerk#000000106,0, instructions haggle furiously. regular pla
6597,118862,O,111822.1,6/27/1998,5-LOW,Clerk#000000392,0,ide of the accounts! slyly even
6598,10876,F,76267.13,5/8/1992,3-MEDIUM,Clerk#000000691,0,ending dolphins slee
6599,59875,O,209896.71,4/17/1998,5-LOW,Clerk#000000365,0, requests. finally ironic theodolit
6624,112927,O,57049.46,8/18/1997,1-URGENT,Clerk#000000553,0,"ay carefully. bold, regular pinto"
6625,134359,F,12948.74,8/16/1993,2-HIGH,Clerk#000000228,0,ckages nag fluffily carefu
6626,57448,F,121961.68,5/7/1994,1-URGENT,Clerk#000000213,0,"nic, ironic ideas. slyly thin"
6627,96571,P,97949.63,3/26/1995,5-LOW,Clerk#000000603,0,ts. stealthily regular deposits
6628,44659,F,153996.13,4/28/1994,3-MEDIUM,Clerk#000000644,0,s are carefully. even
6629,109388,F,168344.17,1/26/1994,1-URGENT,Clerk#000000153,0,ses. ironic instructions wake carefully again
6630,79943,O,362830.38,12/5/1996,2-HIGH,Clerk#000000006,0,heodolites haggle furiously across the regular accounts. furi
6631,47977,O,210963.38,9/6/1995,3-MEDIUM,Clerk#000000819,0,e among the carefully express theodo
6656,75383,F,236930.18,5/16/1994,1-URGENT,Clerk#000000497,0,boost furiously regular foxes; ironic accounts hang quickly
6657,46195,F,42517.2,1/3/1992,4-NOT SPECIFIED,Clerk#000000820,0,t unusual pinto beans. fluffily express excuses are after the carefu
6658,148414,O,62453.93,6/29/1996,5-LOW,Clerk#000000453,0,inal accounts wake blithely final packages. silent pinto beans haggle fur
6659,16360,O,89139.7,1/12/1998,4-NOT SPECIFIED,Clerk#000000467,0,"hely. regular, final asymptotes wak"
6660,147565,O,146451.03,5/6/1998,5-LOW,Clerk#000000336,0, quickly regular frays. carefully regular ideas boost quickly abo
6661,2965,F,73343.63,4/17/1993,5-LOW,Clerk#000000669,0,yly final packages wake slyly regular theodolites. carefully iron
6662,21236,O,110874.67,11/23/1995,4-NOT SPECIFIED,Clerk#000000319,0,"ongside of the special, thi"
6663,57635,F,120085.07,2/3/1995,2-HIGH,Clerk#000000141,0,silent instructions x-ray
6688,118661,O,158390.34,2/24/1997,1-URGENT,Clerk#000000987,0,"foxes kindle against the express, final theodolites. busily ironic requests"
6689,75649,O,74267.08,6/2/1997,1-URGENT,Clerk#000000571,0,rnes cajole. carefully final ideas against
6690,16877,O,216179.1,6/26/1996,2-HIGH,Clerk#000000648,0,y across the quickly silent ideas. ironic accounts are requests. even as
6691,143479,F,254015.02,6/10/1994,5-LOW,Clerk#000000191,0,y regular requests. blithely even packages h
6692,24715,O,322927.45,9/23/1996,3-MEDIUM,Clerk#000000573,0,s cajole slyly across the pending requests. express pinto bean
6693,7171,F,218827.9,5/25/1992,1-URGENT,Clerk#000000232,0," above the unusual deposits. silent, regular warthogs cajole alo"
6694,60209,F,123350.97,9/1/1992,2-HIGH,Clerk#000000954,0, under the carefully final asymptotes. slyly regular asymptotes use blithely 
6695,16964,F,365342.68,6/28/1992,5-LOW,Clerk#000000877,0,gle. blithely regular packages use enticingly according 
6720,101947,F,233891.86,9/10/1993,4-NOT SPECIFIED,Clerk#000000753,0,after the fluffily daring ideas are upon the furiously pending deposits. di
6721,99301,O,184066.54,11/29/1996,4-NOT SPECIFIED,Clerk#000000272,0,cajole furiously final 
6722,51338,O,328170.78,6/26/1996,2-HIGH,Clerk#000000323,0, are blithely after the sl
6723,34108,O,272999.6,6/2/1998,1-URGENT,Clerk#000000984,0,he ironic accounts. fluffily final pinto beans acr
6724,93235,O,165480.18,10/25/1995,3-MEDIUM,Clerk#000000009,0,"rint after the special, regular requests. regular requests haggle carefully. "
6725,75092,O,117083.73,10/15/1995,5-LOW,Clerk#000000149,0, blithely carefully final deposits. carefully ironic accounts nag 
6726,109372,F,232346.95,11/29/1993,4-NOT SPECIFIED,Clerk#000000246,0,permanent requests. carefully even accounts cajole furiously carefully b
6727,95807,F,253717.22,8/30/1994,5-LOW,Clerk#000000832,0,"furiously even instructions. even, final re"
6752,125155,O,44730,10/18/1996,3-MEDIUM,Clerk#000000927,0,"y unusual deposits use slyly pending, regular instructions. express p"
6753,11941,F,162197.29,9/27/1993,5-LOW,Clerk#000000184,0,"nal, ironic theodolites maintain slyly pearls. furiously final deposi"
6754,126088,O,163334.4,8/12/1995,2-HIGH,Clerk#000000648,0, cajole furiously special theodolites. carefully special
6755,110497,O,30990.9,5/2/1995,2-HIGH,Clerk#000000454,0,grate ironic depths. carefully regular foxes print a
6756,114049,F,248298.46,8/25/1993,4-NOT SPECIFIED,Clerk#000000710,0,egular accounts haggle. even instructions about the deposits boost
6757,95125,F,321594.06,2/2/1992,3-MEDIUM,Clerk#000000228,0,al theodolites affix. accounts detect slyly along the
6758,53362,F,16298.47,5/19/1994,3-MEDIUM,Clerk#000000269,0,y fluffily ironic packages. regular packages nod carefully. slyly regular ac
6759,149188,O,149620.12,6/30/1996,3-MEDIUM,Clerk#000000488,0,r requests cajole slyl
6784,128783,O,8098.54,5/15/1997,4-NOT SPECIFIED,Clerk#000000101,0,ccounts. closely ev
6785,94913,F,123899.99,5/7/1992,3-MEDIUM,Clerk#000000144,0,furiously. ironic plate
6786,90232,O,273595.53,8/13/1997,4-NOT SPECIFIED,Clerk#000000602,0,ions promise carefully
6787,11536,O,50587.86,6/3/1995,1-URGENT,Clerk#000000497,0,"ts sleep regular, unusual ideas. quietly ironic platelets integrate after the "
6788,54734,O,140237.73,8/5/1995,4-NOT SPECIFIED,Clerk#000000992,0,ely. quickly final accounts cajole. bravely ironic theodolites nag 
6789,102727,O,171722.78,4/23/1998,2-HIGH,Clerk#000000552,0,"nes. special foxes haggle. ironic, ironic accounts cajole slyly. final account"
6790,18137,F,31548.68,4/27/1995,2-HIGH,Clerk#000000920,0, special courts sleep blith
6791,15377,F,145365.01,2/2/1995,3-MEDIUM,Clerk#000000780,0,uffy dolphins about th
6816,134698,O,48957.05,2/13/1998,4-NOT SPECIFIED,Clerk#000000890,0,telets. pending platelets cajole. even pinto beans are carefully 
6817,65917,O,332529.46,12/7/1996,1-URGENT,Clerk#000000647,0,ndencies; quickly pe
6818,95210,O,205579.22,2/27/1996,1-URGENT,Clerk#000000543,0,ctions do poach carefully. final dependencies against the caref
6819,143911,O,228976.35,3/1/1998,2-HIGH,Clerk#000000767,0,ackages are daringly alongside of the bold accounts. 
6820,85124,O,107518.14,7/6/1995,5-LOW,Clerk#000001000,0, silent orbits haggle furiously among the furiously unusual
6821,125665,O,111839.84,10/2/1997,2-HIGH,Clerk#000000256,0, platelets affix blithely express accounts. fluffily pending reques
6822,24673,O,212398.44,6/22/1997,2-HIGH,Clerk#000000462,0,lly! slyly regular dependencies among the
6823,62720,F,244139.36,7/22/1994,4-NOT SPECIFIED,Clerk#000000369,0, requests breach slyly alongside of the p
6848,72883,F,265058.11,9/14/1993,2-HIGH,Clerk#000000602,0,r requests. final deposits sleep closely 
6849,44395,O,171719.66,1/26/1998,1-URGENT,Clerk#000000473,0,requests was carefully fluf
6850,16711,F,153770.65,2/12/1993,2-HIGH,Clerk#000000292,0,"eodolites along the final, ironi"
6851,40238,O,82211.07,6/30/1997,1-URGENT,Clerk#000000654,0,. furiously even dependencies cajole furiously final requests. s
6852,71026,O,36738.32,6/26/1997,5-LOW,Clerk#000000604,0,lithely regular depos
6853,11813,O,50808.93,2/17/1997,3-MEDIUM,Clerk#000000203,0, platelets are slyly even pinto beans. silent requests a
6854,83404,F,306421.26,1/7/1994,3-MEDIUM,Clerk#000000312,0,regular requests alongside of the thinly regular dolphin
6855,10550,O,96691.54,8/28/1995,2-HIGH,Clerk#000000302,0, quickly pending theodolites wake blithely f
6880,2390,F,174813.62,5/26/1994,3-MEDIUM,Clerk#000000849,0,ly even requests cajole. sometime
6881,112768,F,32955.54,3/23/1994,5-LOW,Clerk#000000327,0,xpress packages nag quickly. furiously sp
6882,17746,O,408446.93,4/9/1997,1-URGENT,Clerk#000000974,0,lar theodolites use furiously among the s
6883,28657,O,248693.91,7/13/1997,1-URGENT,Clerk#000000096,0,ironic ideas are slyly spec
6884,116663,F,227394.25,1/16/1994,5-LOW,Clerk#000000138,0,yly even packages sle
6885,92005,F,146797.5,6/20/1992,5-LOW,Clerk#000000502,0, requests boost carefully. ironic accounts hang across the quickly
6886,100553,F,210058.45,1/20/1992,2-HIGH,Clerk#000000116,0,"ke busy, regular instructions. bold deposits detect furiously regular depths. "
6887,83747,O,217450.33,8/27/1995,4-NOT SPECIFIED,Clerk#000000614,0,"its. close, ironic patterns above the slyly regular packag"
6912,76364,O,32338.59,12/11/1995,4-NOT SPECIFIED,Clerk#000000291,0, final asymptotes. blithely sil
6913,34981,F,86123.56,11/21/1992,4-NOT SPECIFIED,Clerk#000000572,0,ages cajole slyly ideas. blithely final packages against the final 
6914,69995,F,72316.73,12/10/1993,3-MEDIUM,Clerk#000000135,0,"ckages. idle, even pinto "
6915,95930,O,64524.54,2/6/1996,4-NOT SPECIFIED,Clerk#000000879,0,ithely final accounts according to the slyly regular foxes are blithe
6916,86564,F,124025.44,6/5/1993,5-LOW,Clerk#000000104,0, ironic ideas. stealthily regular dependencies boost. furiousl
6917,18265,O,90795.92,7/28/1998,4-NOT SPECIFIED,Clerk#000000887,0,ly. bold dependencies promise fluffily. blithe platelets sle
6918,77596,O,236693.82,7/2/1995,1-URGENT,Clerk#000000120,0,instructions serve fluffily around the pending pl
6919,52966,O,205292.85,5/1/1998,1-URGENT,Clerk#000000350,0, carefully regular accounts breach 
6944,68458,F,11342.4,3/3/1992,5-LOW,Clerk#000000504,0,sly ironic deposits. carefully regular requests serve car
6945,68297,F,7281.75,4/29/1995,1-URGENT,Clerk#000000954,0,e bold packages. unusual packages integrate fluffily carefully
6946,66553,O,57600.05,6/20/1997,5-LOW,Clerk#000000539,0,"ess, unusual dolphins are slyly final, final acco"
6947,127784,O,95041.71,7/20/1995,1-URGENT,Clerk#000000010,0,", special deposits are quickly silent, final dolphi"
6948,111146,F,301982.68,12/10/1993,4-NOT SPECIFIED,Clerk#000000191,0,rts cajole evenly unusual packages
6949,73915,F,175700.04,4/29/1992,4-NOT SPECIFIED,Clerk#000000274,0,lly alongside of the ironically fluffy dolphins. furiously regul
6950,126227,F,28956.89,3/27/1992,5-LOW,Clerk#000000389,0,"foxes may affix. bold accounts boost blithely. even, regular packages haggle"
6951,44140,O,10895.2,8/24/1996,4-NOT SPECIFIED,Clerk#000000570,0,"counts. express, unusual p"
